id;username;email;password;longitude;latitude
1;ferociously entire;Tressa_Farrell@yahoo.com;colleague;elliptical trot evil;besides potentially
2;charbroil notwithstanding;Edyth_Hudson58@yahoo.com;upon vice reality;whose for;with boohoo phew
3;including wholly as;Brain87@hotmail.com;brand;oof sternly;aw ew
4;yahoo once mailing;Consuelo.Anderson37@gmail.com;diligently absolve;quirkily;geez
5;brr loom undock;Rosendo53@yahoo.com;portrait queasily;likewise;until hometown outside
6;eek;Viola_Gleichner@hotmail.com;upon combat;monopoly so;pace
7;plus tedious;Audrey.Kilback75@gmail.com;appropriate doubtfully actually;aha phooey yet;gosh finally
8;phew drink cell;Kayla.Bins57@gmail.com;clave mockingly;black;hmph memorable
9;unaware while;Gaston_Nienow89@gmail.com;incidentally;phooey;fedelini instead
10;aboard um;Ophelia.Stiedemann47@gmail.com;aha;reasonable;although gig flippant
